update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
110,123.57101440429688,0.71,53.26,0.0,0.0002643840853124857,311.2203598022461,0.9415121227502823,10
111,126.3470230102539,0.72,50.91,0.0,0.007008147658780217,250.0767765045166,0.9365243390202522,10
112,124.33903503417969,0.7,49.82,0.0,0.006068587361369282,257.7992630004883,0.8929494544863701,10
113,125.71000671386719,0.71,48.9,0.0,0.0052679707878269255,198.52075576782227,0.9029348492622375,10
114,124.80901336669922,0.69,51.27,0.0,0.00861219796934165,353.77426528930664,0.8982148244976997,10
115,125.96700286865234,0.71,50.91,0.0,0.03440098324790597,394.2411518096924,0.905530720949173,10
116,124.8700180053711,0.69,51.79,0.0,0.03334913309663534,365.8718013763428,0.8941264525055885,10
117,122.80101776123047,0.71,50.17,0.0,0.0029570027836598456,237.63151359558105,0.9116378203034401,10
118,117.54401397705078,0.67,52.48,0.01,0.02445818402338773,375.81869888305664,0.9241850972175598,10
119,110.30801391601562,0.6,58.64,0.01,0.0015427656471729279,463.60782623291016,0.9459959492087364,10
120,109.7290267944336,0.56,62.14,0.01,0.016822271049022675,320.80643463134766,0.9892502725124359,10
121,105.26603698730469,0.5,66.75,0.0,0.010403112042695284,393.6022148132324,0.9743397533893585,10
122,99.3720474243164,0.44,66.92,0.02,0.005383647512644529,557.2201538085938,0.9718315824866295,10
123,97.77705383300781,0.38,68.18,0.02,-0.0001816761214286089,363.15733337402344,0.9425399079918861,10
124,90.2490463256836,0.3,70.56,0.02,0.013420483563095331,427.9984016418457,0.9534419998526573,10
125,85.2730484008789,0.22,73.69,0.02,0.006123332306742668,331.7632827758789,0.97300885617733,10
126,82.13105773925781,0.13,78.77,0.02,0.0010317801497876644,361.0903663635254,1.0091399848461151,10
127,77.72406005859375,0.05,81.65,0.0,-0.0008289315737783909,332.4937210083008,0.9885828271508217,10
128,76.36205291748047,0.04,80.89,0.0,0.0018801053520292044,292.4103088378906,0.9971555024385452,10
129,74.51404571533203,0.01,81.25,0.0,0.001416997518390417,354.0224838256836,0.9915023967623711,10
130,75.62904357910156,0.01,81.08,0.0,0.00027152535039931536,289.0135250091553,1.0120647475123405,10
131,73.93004608154297,0.0,81.47,0.0,-0.00542836869135499,332.52305603027344,0.985785223543644,10
132,73.05303955078125,0.0,82.09,0.0,-0.0014207838103175163,343.61108779907227,0.9732666462659836,10
133,75.07304382324219,0.0,82.85,0.0,-0.00487160962074995,315.36606216430664,0.9600999429821968,10
134,76.60403442382812,0.0,83.14,0.0,0.0003836540854535997,289.81965255737305,0.9545672982931137,10
135,78.26704406738281,0.0,84.11,0.0,-0.0016626357100903988,286.6519012451172,0.9404291361570358,10
136,82.11603546142578,0.0,84.52,0.0,0.0013699997507501394,400.29922103881836,0.9561064764857292,10
137,83.54505157470703,0.0,83.46,0.0,2.1709129214286804e-05,394.71939849853516,0.9448919296264648,10
138,82.69904327392578,0.0,83.88,0.0,-0.0036998186260461807,246.4786319732666,0.925307460129261,10
139,84.467041015625,0.0,82.68,0.0,-0.0018674596212804317,272.33053970336914,0.8997873365879059,10
140,83.99104309082031,0.0,82.2,0.0,-0.0019410289824008942,257.73166847229004,0.8902236819267273,10
141,84.22103881835938,0.0,80.89,0.0,-0.00035214138915762305,280.44653129577637,0.8749498352408409,10
142,86.39403533935547,0.0,81.28,0.0,-0.0014356979518197477,217.1626377105713,0.8823437541723251,10
143,89.92501831054688,0.0,81.01,0.0,-0.0007474699523299932,243.9329833984375,0.912174254655838,10
144,88.72801971435547,0.0,81.35,0.0,-0.004847068805247545,242.79297828674316,0.9167730137705803,10
145,89.52601623535156,0.0,81.31,0.0,0.003980216570198536,288.3640594482422,0.9016406983137131,10
146,89.40603637695312,0.0,81.72,0.0,-0.0037144211237318814,273.99521255493164,0.8998709321022034,10
147,89.13402557373047,0.0,82.34,0.0,-0.0013709653285332024,213.57229614257812,0.9084370881319046,10
148,83.76802825927734,0.0,82.09,0.0,-0.004272781312465668,209.35445976257324,0.9119482561945915,10
149,82.75403594970703,0.0,82.38,0.0,0.0016353403916582465,240.8159999847412,0.8849704340100288,10
150,84.11203002929688,0.0,83.35,0.0,-0.001572812208905816,224.33872413635254,0.8662278354167938,10
151,84.24603271484375,0.0,83.76,0.0,0.0019825382041744888,231.00858306884766,0.8569812625646591,10
